"Jinja2 templating with autoescape=False","Using jinja2 templates with 'autoescape=False' can cause a cross-site scripting vulnerability.","error","Using jinja2 templates with autoescape=False can potentially allow XSS attacks.","/CWE-079/codeql_1.py","13","11","13","51"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-080/author_1.py:10:12:10:18""]].","/CWE-080/author_1.py","11","30","11","47"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-020/codeql_1.py:10:16:10:22""]].","/CWE-020/codeql_1.py","11","30","11","37"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-312/codeql_1.py:10:16:10:22""]].","/CWE-312/codeql_1.py","11","30","11","55"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-117/codeql_1.py:14:12:14:18""]].","/CWE-117/codeql_1.py","16","12","16","15"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-918/codeql_1.py:11:17:11:23""]].","/CWE-918/codeql_1.py","14","12","14","24"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-918/codeql_2.py:11:15:11:21""]].","/CWE-918/codeql_2.py","14","12","14","24"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-020/codeql_2.py:13:16:13:22""]].","/CWE-020/codeql_2.py","15","12","15","15"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-079/codeql_2.py:10:12:10:18""]].","/CWE-079/codeql_2.py","11","30","11","33"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-113/sonar_1.py:12:20:12:26""]].","/CWE-113/sonar_1.py","13","25","13","36"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-079/sonar_1.py:10:12:10:18""]].","/CWE-079/sonar_1.py","14","30","14","33"
"Reflected server-side cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to [[""a user-provided value""|""relative:///CWE-117/sonar_1.py:9:13:9:19""]].","/CWE-117/sonar_1.py","11","12","11","16"
